Choice,Error Opa,Splatting Strategy,RRE ↓ ↓,RTE ↓ ↓,PSNR ↑ ↑,LPIPS ↓ ↓,SSIM ↑ ↑,Final Gaussian Count ↓
VGGT,,Default,0.857,0.067143,17.39750862121582,0.5670915246009827,0.28935492038726807,3564663.0
VGGT,,MCMC,0.857,0.067143,17.31154441833496,0.4846026599407196,0.27133893966674805,1000000.0
VGGT,Err Opa Init,Default,0.857,0.067143,17.321645736694336,0.5714667439460754,0.288997620344162,3565786.0
VGGT,Err Opa Init,MCMC,0.857,0.067143,17.309612274169922,0.4854808747768402,0.27193471789360046,1000000.0
